,match_id,game_id,barracks_status_dire,barracks_status_radiant,dire_score,radiant_score,radiant_gold_adv,tower_status_dire,tower_status_radiant
0,7199755776,2,48,15,37,38,"[0, -30, -284, 41, 156, -309, -603, -1111, -1090, -1064, -1074, -886, -1357, -2647, -2336, -2672, -2777, -2742, -3112, -4266, -3889, -3610, -3983, -2830, -2563, -3220, -2346, -3422, -4071, -2904, -2602, -3951, -4831, -4915, -1228, -832, -2050, -2324, -2851, -2156, -1524, -1857, 288, -906, -407, 1283, 3147, 6781, 6031, 5812, 9847, 11831, 10171, 10434, 9651, 8569, 7984, 5926, 9694]",384,548
1,7201230340,22,0,63,24,46,"[0, 46, -269, -472, -305, 229, -86, -181, -1512, -1083, -1669, -825, 55, 806, 1788, 1039, 1627, 2611, 2518, 3335, 4211, 2969, 4125, 4932, 2629, 2922, 2460, 4496, 7183, 8644, 7590, 5303, 5277, 6412, 7557, 6787, 6750, 5440, 3122, 2067, 6131, 11776, 16530, 17143, 16341]",0,1975
2,7201376778,22,63,3,34,18,"[0, 711, 885, 627, 1262, 806, 1367, 1292, 1298, 1893, 3229, 3121, 827, 563, 819, 785, 1229, -3536, -2893, -6548, -7561, -6185, -7262, -7887, -13300, -16274]",2038,6
3,7197621771,2,63,15,25,9,"[0, -408, -626, -673, -1963, -1887, -2642, -2836, -2358, -2290, -1603, -1824, -2283, -2745, -1850, -1757, -4046, -5139, -7952, -9517, -9150, -10089, -8121, -8865, -10989, -14957]",2038,1572
4,7198743566,2,63,0,28,13,"[-568, -522, -677, -1122, -994, -1766, -1431, -2209, -2249, -3302, -2740, -2565, -3519, -3781, -4337, -2303, -2131, -1859, -388, -811, -1807, -1886, -5306, -5729, -6704, -6780, -8087, -9785, -10277, -10087, -11228, -14443, -13810, -13587, -14640, -16409, -16222, -16183]",1844,0
5,7201545230,22,63,3,27,22,"[0, 456, 768, 598, 884, 655, 304, 960, 884, 756, 1448, 2616, 3637, 738, 608, 1672, 516, -1783, -2156, -3030, -3529, -4205, -6551, -8094, -12758, -16480]",2038,6
6,7196148239,2,0,0,33,31,"[-100, -519, -520, 7, 53, 406, 828, 1240, 814, 659, 187, 241, 187, 355, -387, -1062, 193, 4232, 5066, 7273, 6239, 5219, 6097, 3840, 4005, 6310, 7007, 6047, 4486, 1781, 2295, 3112, 2627, 1238, 758, 319, -693, -911, -4584, -3851, -2552, 1355, 1112, -3147, -8491, -11451, -11386, -9702, -10440, -10001]",1536,0
7,7198409746,2,63,3,38,21,"[0, -34, -1, -178, -39, 174, 673, 781, 273, 825, -499, -1348, -2052, -1949, -3525, -4640, -5592, -5987, -6571, -6780, -6721, -7008, -5679, -5049, -4921, -5538, -8184, -10717, -13222, -14191, -15067, -15992, -17394, -16153, -17979, -13193, -13108, -17103, -17476, -17429, -18239, -17692, -18192, -21764]",2032,6
8,7180058643,2,63,63,7,31,"[0, 179, 223, 384, 952, 890, 1894, 2237, 3279, 4253, 4845, 5504, 6369, 8025, 8239, 8938, 11154, 11661, 12040, 13749, 15807, 17293, 18414]",2038,1983
9,7197402650,2,0,63,9,30,"[0, 296, 663, 829, 1160, 1544, 926, 980, 573, 384, 1357, 2293, 2859, 2634, 3202, 4078, 5752, 4940, 5914, 6011, 7151, 7156, 6874, 6878, 8212, 10095, 11429, 13278, 14206, 14513, 16974, 18016, 16647, 18045, 22854]",1536,1590
