,profile,rank_tier,leaderboard_rank,solo_competitive_rank,competitive_rank,mmr_estimate,account_id
0,"{'account_id': 91730177, 'personaname': 'Seleri', 'name': 'Seleri', 'plus': False, 'cheese': 0, 'steamid': '76561198051995905', 'avatar': 'https://avatars.steamstatic.com/0412fc6ae94c2d34f9a9d186fb133499eef1de81.jpg', 'avatarmedium': 'https://avatars.steamstatic.com/0412fc6ae94c2d34f9a9d186fb133499eef1de81_medium.jpg', 'avatarfull': 'https://avatars.steamstatic.com/0412fc6ae94c2d34f9a9d186fb133499eef1de81_full.jpg', 'profileurl': 'https://steamcommunity.com/id/Seleri/', 'last_login': '2020-10-05T18:16:42.773Z', 'loccountrycode': 'NL', 'status': None, 'is_contributor': False, 'is_subscriber': False}",80.0,32.0,7068.0,5812.0,{'estimate': 7000},91730177
1,"{'account_id': 97590558, 'personaname': 'Ace', 'name': 'Ace ♠', 'plus': True, 'cheese': 0, 'steamid': '76561198057856286', 'avatar': 'https://avatars.steamstatic.com/23fbee9836590ace850b97956e45e3a73367e343.jpg', 'avatarmedium': 'https://avatars.steamstatic.com/23fbee9836590ace850b97956e45e3a73367e343_medium.jpg', 'avatarfull': 'https://avatars.steamstatic.com/23fbee9836590ace850b97956e45e3a73367e343_full.jpg', 'profileurl': 'https://steamcommunity.com/profiles/76561198057856286/', 'last_login': '2016-11-16T17:34:02.615Z', 'loccountrycode': 'DK', 'status': None, 'is_contributor': False, 'is_subscriber': False}",80.0,25.0,8508.0,6758.0,{'estimate': 7000},97590558
2,"{'account_id': 16497807, 'personaname': 'tOfu', 'name': 'tOfu', 'plus': True, 'cheese': 0, 'steamid': '76561197976763535', 'avatar': 'https://avatars.steamstatic.com/a0aca11d96d24ee6796bc8017fe7d988ac69006d.jpg', 'avatarmedium': 'https://avatars.steamstatic.com/a0aca11d96d24ee6796bc8017fe7d988ac69006d_medium.jpg', 'avatarfull': 'https://avatars.steamstatic.com/a0aca11d96d24ee6796bc8017fe7d988ac69006d_full.jpg', 'profileurl': 'https://steamcommunity.com/id/to_Ofu/', 'last_login': '2020-12-05T02:26:53.827Z', 'loccountrycode': 'DE', 'status': None, 'is_contributor': False, 'is_subscriber': False}",80.0,419.0,5912.0,5218.0,{'estimate': 7000},16497807
3,"{'account_id': 116934015, 'personaname': 'dont make me sad', 'name': 'dyrachyo', 'plus': True, 'cheese': 0, 'steamid': '76561198077199743', 'avatar': 'https://avatars.steamstatic.com/51331d7a1fb1579d6ab4b12ec6d9650ddd22e24e.jpg', 'avatarmedium': 'https://avatars.steamstatic.com/51331d7a1fb1579d6ab4b12ec6d9650ddd22e24e_medium.jpg', 'avatarfull': 'https://avatars.steamstatic.com/51331d7a1fb1579d6ab4b12ec6d9650ddd22e24e_full.jpg', 'profileurl': 'https://steamcommunity.com/id/dyrachyoo/', 'last_login': '2020-08-17T13:17:19.406Z', 'loccountrycode': 'RU', 'status': None, 'is_contributor': False, 'is_subscriber': False}",80.0,63.0,6653.0,5179.0,{'estimate': 7000},116934015
4,"{'account_id': 221666230, 'personaname': 'Vulf', 'name': 'Quinn', 'plus': True, 'cheese': 0, 'steamid': '76561198181931958', 'avatar': 'https://avatars.steamstatic.com/5faf02b49e4de6d3e108efee519ab956fafd6658.jpg', 'avatarmedium': 'https://avatars.steamstatic.com/5faf02b49e4de6d3e108efee519ab956fafd6658_medium.jpg', 'avatarfull': 'https://avatars.steamstatic.com/5faf02b49e4de6d3e108efee519ab956fafd6658_full.jpg', 'profileurl': 'https://steamcommunity.com/profiles/76561198181931958/', 'last_login': None, 'loccountrycode': 'US', 'status': None, 'is_contributor': False, 'is_subscriber': False}",80.0,3.0,7468.0,,{'estimate': 7000},221666230
5,"{'account_id': 100058342, 'personaname': 'skiter', 'name': 'skiter', 'plus': True, 'cheese': 0, 'steamid': '76561198060324070', 'avatar': 'https://avatars.steamstatic.com/e32de017ab05fe4e58083175ff1b4fa221ee78a7.jpg', 'avatarmedium': 'https://avatars.steamstatic.com/e32de017ab05fe4e58083175ff1b4fa221ee78a7_medium.jpg', 'avatarfull': 'https://avatars.steamstatic.com/e32de017ab05fe4e58083175ff1b4fa221ee78a7_full.jpg', 'profileurl': 'https://steamcommunity.com/profiles/76561198060324070/', 'last_login': '2019-04-28T01:33:45.525Z', 'loccountrycode': 'SK', 'status': None, 'is_contributor': False, 'is_subscriber': False}",80.0,66.0,8505.0,,{'estimate': 7621},100058342
6,"{'account_id': 86698277, 'personaname': 'not human (животное)', 'name': '33', 'plus': True, 'cheese': 0, 'steamid': '76561198046964005', 'avatar': 'https://avatars.steamstatic.com/cb4994ca728b78b8991a65c201f2a812c3a5e286.jpg', 'avatarmedium': 'https://avatars.steamstatic.com/cb4994ca728b78b8991a65c201f2a812c3a5e286_medium.jpg', 'avatarfull': 'https://avatars.steamstatic.com/cb4994ca728b78b8991a65c201f2a812c3a5e286_full.jpg', 'profileurl': 'https://steamcommunity.com/id/Neta33/', 'last_login': '2021-05-08T09:58:21.551Z', 'loccountrycode': 'IL', 'status': None, 'is_contributor': False, 'is_subscriber': False}",80.0,101.0,8459.0,5076.0,{'estimate': 7579},86698277
7,"{'account_id': 94786276, 'personaname': 'nights', 'name': 'Nine', 'plus': True, 'cheese': 0, 'steamid': '76561198055052004', 'avatar': 'https://avatars.steamstatic.com/aa22e1e7215288dd213c3d023d3fed4455cac68e.jpg', 'avatarmedium': 'https://avatars.steamstatic.com/aa22e1e7215288dd213c3d023d3fed4455cac68e_medium.jpg', 'avatarfull': 'https://avatars.steamstatic.com/aa22e1e7215288dd213c3d023d3fed4455cac68e_full.jpg', 'profileurl': 'https://steamcommunity.com/id/Requiem3/', 'last_login': '2018-01-11T02:24:02.693Z', 'loccountrycode': None, 'status': None, 'is_contributor': False, 'is_subscriber': False}",80.0,166.0,8374.0,,{'estimate': 7705},94786276
8,"{'account_id': 10366616, 'personaname': 'Sneyking', 'name': 'Sneyking', 'plus': True, 'cheese': 0, 'steamid': '76561197970632344', 'avatar': 'https://avatars.steamstatic.com/c19fed8e57530f749e3de139ae938a5fdbf051c5.jpg', 'avatarmedium': 'https://avatars.steamstatic.com/c19fed8e57530f749e3de139ae938a5fdbf051c5_medium.jpg', 'avatarfull': 'https://avatars.steamstatic.com/c19fed8e57530f749e3de139ae938a5fdbf051c5_full.jpg', 'profileurl': 'https://steamcommunity.com/profiles/76561197970632344/', 'last_login': '2016-04-11T03:56:15.700Z', 'loccountrycode': None, 'status': None, 'is_contributor': False, 'is_subscriber': False}",80.0,50.0,8944.0,6098.0,{'estimate': 7598},10366616
9,"{'account_id': 103735745, 'personaname': 'chat muted', 'name': 'Saksa', 'plus': True, 'cheese': 0, 'steamid': '76561198064001473', 'avatar': 'https://avatars.steamstatic.com/b56f8464a8540836d85d19fa1ab54ac55380282d.jpg', 'avatarmedium': 'https://avatars.steamstatic.com/b56f8464a8540836d85d19fa1ab54ac55380282d_medium.jpg', 'avatarfull': 'https://avatars.steamstatic.com/b56f8464a8540836d85d19fa1ab54ac55380282d_full.jpg', 'profileurl': 'https://steamcommunity.com/profiles/76561198064001473/', 'last_login': None, 'loccountrycode': None, 'status': None, 'is_contributor': False, 'is_subscriber': False}",80.0,24.0,8187.0,5980.0,{'estimate': 7744},103735745
