,uniqueMatches
0,7199755776
1,7201230340
2,7201376778
3,7197621771
4,7198743566
5,7201545230
6,7196148239
7,7198409746
8,7180058643
9,7197402650
10,7200090650
11,7197158940
12,6555327011
13,7198619685
14,6994466342
15,7198415403
16,7198653484
17,6996116526
18,7198388279
19,7196982841
20,7201038911
21,7197273151
22,7199075393
23,7185736258
24,7196248646
25,7198583881
26,7197268558
27,7200180308
28,7197746276
29,7169278566
30,7177023592
31,7201101929
32,7199967336
33,7199837298
34,7200406644
35,7201311863
36,7197642359
37,7199811192
38,7198760061
39,7196102277
40,7197929605
41,7185610373
42,7200549002
43,7192744084
44,7200604826
45,7197508252
46,7182797990
47,7192030892
48,7201317551
49,7199658675
50,6527320762
51,6989534909
52,7200438465
53,6994780866
54,7199729347
55,7141402305
56,7198430914
57,6558179018
58,7195588301
59,7192646349
60,7197890767
61,7198841043
62,6994688725
63,7200496351
64,7197685988
65,7200588518
66,7155855080
67,7103908079
68,7176911092
69,6994872053
70,7199730427
71,6995872508
72,7198345469
73,7186302717
74,7199662336
75,6559623428
76,6986648325
77,7198803217
78,7197710610
79,7121418007
80,6558096676
81,7197062437
82,6527204659
83,7197398842
84,7198866748
85,7199657284
86,7200532805
87,7200429380
88,7199658825
89,7196123980
90,7198512462
91,7192920406
92,7197522265
93,6555242841
94,7186379101
95,7199022943
96,7197625184
97,7196334944
98,7182637411
99,7169115499
100,7197269361
101,7198343539
102,7197501814
103,7197159801
104,7182496638
105,7199923587
106,7197160835
107,7199005574
108,7198565769
109,7195520394
110,7191928715
111,7198959000
112,7198652826
113,7185549214
114,6527457699
115,7200232871
116,7198515116
117,7179965868
118,6559726513
119,6989378485
120,7192857019
121,7199120830
122,7155789760
123,7200969666
124,7189277124
125,7176793541
126,7121313738
127,7199958992
128,7103785428
129,6555389399
130,7195971545
131,7201114074
132,6989630940
133,7185789412
134,7141506538
135,7197382646
136,7192782326
137,7195985918
